generation,best_objective,wall_time_s
1,1.5963363432496698,335.06575894355774
2,1.221659597340138,618.2468202114105
3,1.2067062739854038,832.8245499134064
4,1.2067062739854038,1029.5210990905762
5,1.1315970033952023,1224.4081900119781
6,1.1315970033952023,1417.6931960582733
7,1.1176826298240534,1609.716194152832
8,1.1176826298240534,1803.243643283844
9,1.1176826298240534,1993.802344083786
10,1.0812783595740483,2185.550708055496
11,1.0781307833176421,2375.7840361595154
12,1.0781307833176421,2568.0632581710815
13,1.0781307833176421,2761.9339079856873
14,1.0048670758126514,2951.887370109558
15,1.0048670758126514,3140.349424123764
16,1.0048670758126514,3323.4155671596527
17,1.0048670758126514,3507.0818181037903
18,1.0048670758126514,3693.5771799087524
19,1.0048670758126514,3882.575224161148
20,1.0048670758126514,4070.7188379764557
