vehicle_id,mode,time_s,x_m,y_m,speed_mps
52,car,8.28,0.0,4.64,7.61
52,car,9.28,7.61,4.64,7.61
52,car,10.28,15.22,4.64,7.61
52,car,11.28,22.83,4.64,7.61
52,car,12.28,30.44,4.64,7.61
52,car,13.28,38.04,4.64,7.61
52,car,14.28,45.65,4.64,7.61
52,car,15.28,53.26,4.64,7.61
52,car,16.28,60.87,4.64,7.61
52,car,17.28,68.48,4.64,7.61
52,car,18.28,76.09,4.64,7.61
52,car,19.28,83.7,4.64,7.61
52,car,20.28,91.31,4.64,7.61
95,car,20.94,0.0,1.97,11.89
52,car,21.28,98.91,4.64,7.61
60,two_wheeler,21.88,0.0,1.24,11.87
95,car,21.94,11.89,1.97,11.89
52,car,22.28,106.52,4.64,7.61
60,two_wheeler,22.88,11.87,1.24,11.87
95,car,22.94,23.77,1.97,11.89
52,car,23.28,114.13,4.64,7.61
60,two_wheeler,23.88,23.75,1.24,11.87
95,car,23.94,35.66,1.97,11.89
52,car,24.28,121.74,4.64,7.61
60,two_wheeler,24.88,35.62,1.24,11.87
95,car,24.94,47.55,1.97,11.89
52,car,25.28,129.35,4.64,7.61
60,two_wheeler,25.88,47.49,1.24,11.87
140,two_wheeler,25.9,0.0,4.34,12.53
95,car,25.94,59.43,1.97,11.89
52,car,26.28,136.96,4.64,7.61
60,two_wheeler,26.88,59.36,1.24,11.87
140,two_wheeler,26.9,12.53,4.34,12.53
95,car,26.94,71.32,1.97,11.89
52,car,27.28,144.57,4.64,7.61
60,two_wheeler,27.88,71.24,1.24,11.87
140,two_wheeler,27.9,25.06,4.34,12.53
95,car,27.94,83.21,1.97,11.89
52,car,28.28,152.18,4.64,7.61
60,two_wheeler,28.88,83.11,1.24,11.87
140,two_wheeler,28.9,37.59,4.34,12.53
95,car,28.94,95.09,1.97,11.89
52,car,29.28,159.79,4.64,7.61
60,two_wheeler,29.88,94.98,1.24,11.87
140,two_wheeler,29.9,50.12,4.34,12.53
95,car,29.94,106.98,1.97,11.89
52,car,30.28,167.39,4.64,7.61
60,two_wheeler,30.88,106.86,1.24,11.87
140,two_wheeler,30.9,62.65,4.34,12.53
95,car,30.94,118.87,1.97,11.89
52,car,31.28,175.0,4.64,7.61
60,two_wheeler,31.88,118.73,1.24,11.87
140,two_wheeler,31.9,75.18,4.34,12.53
95,car,31.94,130.75,1.97,11.89
52,car,32.28,182.61,4.64,7.61
72,three_wheeler,32.35,0.0,3.8,8.33
60,two_wheeler,32.88,130.6,1.24,11.87
140,two_wheeler,32.9,87.72,4.34,12.53
95,car,32.94,142.64,1.97,11.89
37,two_wheeler,33.2,0.0,3.52,11.66
52,car,33.28,190.22,4.64,7.61
72,three_wheeler,33.35,8.33,3.8,8.33
60,two_wheeler,33.88,142.47,1.24,11.87
140,two_wheeler,33.9,100.25,4.34,12.53
95,car,33.94,154.53,1.97,11.89
37,two_wheeler,34.2,11.66,3.52,11.66
52,car,34.28,197.83,4.64,7.61
72,three_wheeler,34.35,16.66,3.8,8.33
60,two_wheeler,34.88,154.35,1.24,11.87
140,two_wheeler,34.9,112.78,4.34,12.53
95,car,34.94,166.42,1.97,11.89
37,two_wheeler,35.2,23.31,3.52,11.66
72,three_wheeler,35.35,24.98,3.8,8.33
60,two_wheeler,35.88,166.22,1.24,11.87
140,two_wheeler,35.9,125.31,4.34,12.53
95,car,35.94,178.3,1.97,11.89
37,two_wheeler,36.2,34.97,3.52,11.66
72,three_wheeler,36.35,33.31,3.8,8.33
60,two_wheeler,36.88,178.09,1.24,11.87
140,two_wheeler,36.9,137.84,4.34,12.53
95,car,36.94,190.19,1.97,11.89
37,two_wheeler,37.2,46.63,3.52,11.66
72,three_wheeler,37.35,41.64,3.8,8.33
60,two_wheeler,37.88,189.97,1.24,11.87
140,two_wheeler,37.9,150.37,4.34,12.53
37,two_wheeler,38.2,58.29,3.52,11.66
72,three_wheeler,38.35,49.97,3.8,8.33
140,two_wheeler,38.9,162.9,4.34,12.53
37,two_wheeler,39.2,69.94,3.52,11.66
72,three_wheeler,39.35,58.3,3.8,8.33
140,two_wheeler,39.9,175.43,4.34,12.53
37,two_wheeler,40.2,81.6,3.52,11.66
72,three_wheeler,40.35,66.62,3.8,8.33
140,two_wheeler,40.9,187.96,4.34,12.53
37,two_wheeler,41.2,93.26,3.52,11.66
72,three_wheeler,41.35,74.95,3.8,8.33
8,three_wheeler,41.81,0.0,1.19,9.04
37,two_wheeler,42.2,104.92,3.52,11.66
72,three_wheeler,42.35,83.28,3.8,8.33
8,three_wheeler,42.81,9.04,1.19,9.04
37,two_wheeler,43.2,116.57,3.52,11.66
72,three_wheeler,43.35,91.61,3.8,8.33
8,three_wheeler,43.81,18.08,1.19,9.04
37,two_wheeler,44.2,128.23,3.52,11.66
72,three_wheeler,44.35,99.94,3.8,8.33
8,three_wheeler,44.81,27.11,1.19,9.04
37,two_wheeler,45.2,139.89,3.52,11.66
72,three_wheeler,45.35,108.26,3.8,8.33
8,three_wheeler,45.81,36.15,1.19,9.04
37,two_wheeler,46.2,151.55,3.52,11.66
72,three_wheeler,46.35,116.59,3.8,8.33
176,three_wheeler,46.64,0.0,0.94,7.68
8,three_wheeler,46.81,45.19,1.19,9.04
37,two_wheeler,47.2,163.2,3.52,11.66
72,three_wheeler,47.35,124.92,3.8,8.33
176,three_wheeler,47.64,7.68,0.94,7.68
8,three_wheeler,47.81,54.23,1.19,9.04
37,two_wheeler,48.2,174.86,3.52,11.66
72,three_wheeler,48.35,133.25,3.8,8.33
176,three_wheeler,48.64,15.37,0.94,7.68
8,three_wheeler,48.81,63.26,1.19,9.04
37,two_wheeler,49.2,186.52,3.52,11.66
72,three_wheeler,49.35,141.58,3.8,8.33
176,three_wheeler,49.64,23.05,0.94,7.68
8,three_wheeler,49.81,72.3,1.19,9.04
37,two_wheeler,50.2,198.18,3.52,11.66
72,three_wheeler,50.35,149.9,3.8,8.33
176,three_wheeler,50.64,30.73,0.94,7.68
8,three_wheeler,50.81,81.34,1.19,9.04
72,three_wheeler,51.35,158.23,3.8,8.33
176,three_wheeler,51.64,38.42,0.94,7.68
8,three_wheeler,51.81,90.38,1.19,9.04
72,three_wheeler,52.35,166.56,3.8,8.33
176,three_wheeler,52.64,46.1,0.94,7.68
8,three_wheeler,52.81,99.41,1.19,9.04
72,three_wheeler,53.35,174.89,3.8,8.33
176,three_wheeler,53.64,53.78,0.94,7.68
8,three_wheeler,53.81,108.45,1.19,9.04
72,three_wheeler,54.35,183.22,3.8,8.33
176,three_wheeler,54.64,61.46,0.94,7.68
8,three_wheeler,54.81,117.49,1.19,9.04
72,three_wheeler,55.35,191.54,3.8,8.33
176,three_wheeler,55.64,69.15,0.94,7.68
8,three_wheeler,55.81,126.53,1.19,9.04
72,three_wheeler,56.35,199.87,3.8,8.33
176,three_wheeler,56.64,76.83,0.94,7.68
8,three_wheeler,56.81,135.57,1.19,9.04
176,three_wheeler,57.64,84.51,0.94,7.68
8,three_wheeler,57.81,144.6,1.19,9.04
176,three_wheeler,58.64,92.2,0.94,7.68
8,three_wheeler,58.81,153.64,1.19,9.04
176,three_wheeler,59.64,99.88,0.94,7.68
8,three_wheeler,59.81,162.68,1.19,9.04
176,three_wheeler,60.64,107.56,0.94,7.68
8,three_wheeler,60.81,171.72,1.19,9.04
176,three_wheeler,61.64,115.25,0.94,7.68
8,three_wheeler,61.81,180.75,1.19,9.04
93,two_wheeler,62.43,0.0,0.13,8.6
176,three_wheeler,62.64,122.93,0.94,7.68
8,three_wheeler,62.81,189.79,1.19,9.04
93,two_wheeler,63.43,8.6,0.13,8.6
176,three_wheeler,63.64,130.61,0.94,7.68
8,three_wheeler,63.81,198.83,1.19,9.04
93,two_wheeler,64.43,17.21,0.13,8.6
176,three_wheeler,64.64,138.29,0.94,7.68
93,two_wheeler,65.43,25.81,0.13,8.6
176,three_wheeler,65.64,145.98,0.94,7.68
93,two_wheeler,66.43,34.42,0.13,8.6
20,car,66.64,0.0,0.81,9.15
176,three_wheeler,66.64,153.66,0.94,7.68
93,two_wheeler,67.43,43.02,0.13,8.6
20,car,67.64,9.15,0.81,9.15
176,three_wheeler,67.64,161.34,0.94,7.68
93,two_wheeler,68.43,51.63,0.13,8.6
20,car,68.64,18.3,0.81,9.15
176,three_wheeler,68.64,169.03,0.94,7.68
28,two_wheeler,69.28,0.0,1.13,9.74
93,two_wheeler,69.43,60.23,0.13,8.6
20,car,69.64,27.45,0.81,9.15
176,three_wheeler,69.64,176.71,0.94,7.68
125,three_wheeler,69.96,0.0,6.9,10.87
28,two_wheeler,70.28,9.74,1.13,9.74
93,two_wheeler,70.43,68.84,0.13,8.6
20,car,70.64,36.6,0.81,9.15
176,three_wheeler,70.64,184.39,0.94,7.68
125,three_wheeler,70.96,10.87,6.9,10.87
28,two_wheeler,71.28,19.48,1.13,9.74
93,two_wheeler,71.43,77.44,0.13,8.6
20,car,71.64,45.75,0.81,9.15
176,three_wheeler,71.64,192.08,0.94,7.68
125,three_wheeler,71.96,21.74,6.9,10.87
28,two_wheeler,72.28,29.22,1.13,9.74
93,two_wheeler,72.43,86.05,0.13,8.6
20,car,72.64,54.9,0.81,9.15
176,three_wheeler,72.64,199.76,0.94,7.68
125,three_wheeler,72.96,32.62,6.9,10.87
28,two_wheeler,73.28,38.95,1.13,9.74
93,two_wheeler,73.43,94.65,0.13,8.6
154,car,73.58,0.0,6.45,12.24
20,car,73.64,64.06,0.81,9.15
